unit_code,category_id,category,item_id,section,label,score,classification_status,confidence,manual_review_required,text,matched_rule_labels,source_url
INFS6600,work_integrated_applied,Work-Integrated and Applied Learning,OV01,overview,Overview paragraph 1,10.0,positive,high,False,"This unit bridges the gap between theory and practice by integrating the knowledge and key skills developed across the Digital Business or Business Information Systems specialisation. It provides students with a practical teamwork experience to identify, analyse, and solve contemporary problems by exploring the socio-technical ecosystem in which a digital business operates. This experiential learning opportunity enhances students’ career-readiness by consolidating their professional skills and ability to apply the Business Information Systems knowledge in authentic situations.",authentic practice; theory-practice integration; practical teamwork; career readiness,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,work_integrated_applied,Work-Integrated and Applied Learning,LO01,learning_outcome,Learning outcome 1,4.0,positive,moderate,False,LO1. Apply advanced principles and theories related to digital business and information systems in the context of an actual business organisation,actual organisation or professional context,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,case_based,Case-Based Learning,LO02,learning_outcome,Learning outcome 2,3.5,positive,moderate,False,LO2. Analyse open-ended business scenarios and evaluate the implications of digital technologies for business,explicit scenario method,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,work_integrated_applied,Work-Integrated and Applied Learning,LO03,learning_outcome,Learning outcome 3,4.0,positive,moderate,False,LO3. Apply techniques for organisational and business process analyses to resolve an actual business problem,actual organisation or professional context,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,project_problem_based,Project- and Problem-Based Learning,LO03,learning_outcome,Learning outcome 3,4.0,positive,moderate,False,LO3. Apply techniques for organisational and business process analyses to resolve an actual business problem,authentic problem or challenge,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,work_integrated_applied,Work-Integrated and Applied Learning,LO04,learning_outcome,Learning outcome 4,4.0,positive,moderate,False,"LO4. Communicate in a professional and confident manner, both orally and in writing, with actual business professionals",actual organisation or professional context,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,work_integrated_applied,Work-Integrated and Applied Learning,AS06,assessment,"Business Models Submission of partner's business, operating models, and IS architecture",4.0,positive,moderate,False,"Type: Case studies. Description: Business Models Submission of partner's business, operating models, and IS architecture",industry or business partner,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,work_integrated_applied,Work-Integrated and Applied Learning,AS08,assessment,Pitch to Partner Slides submission before class Delivered during class time,4.0,positive,moderate,False,Type: Presentation. Description: Pitch to Partner Slides submission before class Delivered during class time,industry or business partner,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,work_integrated_applied,Work-Integrated and Applied Learning,AS10,assessment,Boardroom Presentation Slides submission before class Live presentation,3.5,positive,moderate,False,Type: Presentation. Description: Boardroom Presentation Slides submission before class Live presentation,professional presentation,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,work_integrated_applied,Work-Integrated and Applied Learning,AS11,assessment,Boardroom Presentation Q&A Q&A post boardroom presentation,3.5,positive,moderate,False,"Type: Q&A following presentation, submission or placement. Description: Boardroom Presentation Q&A Q&A post boardroom presentation",professional presentation,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,project_problem_based,Project- and Problem-Based Learning,WK01,weekly_schedule,Week 01: Unit Introduction & Project Immersion,3.5,positive,moderate,False,Unit Introduction & Project Immersion. Learning activity: Seminar (3 hr),project immersion,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,work_integrated_applied,Work-Integrated and Applied Learning,WK02,weekly_schedule,Week 02: Partner Briefing & Group Collaboration,4.0,positive,moderate,False,Partner Briefing & Group Collaboration. Learning activity: Seminar (3 hr),industry or business partner,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,project_problem_based,Project- and Problem-Based Learning,WK03,weekly_schedule,Week 03: Problem & Opportunity Scoping,3.5,positive,moderate,False,Problem & Opportunity Scoping. Learning activity: Seminar (3 hr),problem and opportunity scoping,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,work_integrated_applied,Work-Integrated and Applied Learning,WK05,weekly_schedule,Week 05: Pitch to Partner,4.0,positive,moderate,False,Pitch to Partner. Learning activity: Seminar (3 hr),industry or business partner,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,project_problem_based,Project- and Problem-Based Learning,WK09,weekly_schedule,Week 09: Prototype Validation,3.5,positive,moderate,False,Prototype Validation. Learning activity: Seminar (3 hr),design and prototype method,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,work_integrated_applied,Work-Integrated and Applied Learning,WK12,weekly_schedule,Week 12: Boardroom Presentation,3.5,positive,moderate,False,Boardroom Presentation. Learning activity: Seminar (3 hr),professional presentation,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
