unit_code,category,item_id,section,label,score,confidence,text,matched_rule_labels,source_url
INFS6600,Work-Integrated and Applied Learning,OV01,overview,Overview paragraph 1,9.5,high,"This unit bridges the gap between theory and practice by integrating the knowledge and key skills developed across the Digital Business or Business Information Systems specialisation. It provides students with a practical teamwork experience to identify, analyse, and solve contemporary problems by exploring the socio-technical ecosystem in which a digital business operates. This experiential learning opportunity enhances students’ career-readiness by consolidating their professional skills and ability to apply the Business Information Systems knowledge in authentic situations.",authentic practice; theory-practice integration; practical teamwork; career readiness,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,Work-Integrated and Applied Learning,LO01,learning_outcome,Learning outcome 1,4.0,moderate,LO1. Apply advanced principles and theories related to digital business and information systems in the context of an actual business organisation,actual organisation or professional context,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,Simulation and Case-Based Learning,LO02,learning_outcome,Learning outcome 2,3.5,moderate,LO2. Analyse open-ended business scenarios and evaluate the implications of digital technologies for business,explicit scenario method,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,Work-Integrated and Applied Learning,LO03,learning_outcome,Learning outcome 3,4.0,moderate,LO3. Apply techniques for organisational and business process analyses to resolve an actual business problem,actual organisation or professional context,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,Work-Integrated and Applied Learning,LO04,learning_outcome,Learning outcome 4,4.0,moderate,"LO4. Communicate in a professional and confident manner, both orally and in writing, with actual business professionals",actual organisation or professional context,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,Work-Integrated and Applied Learning,AS06,assessment,"Business Models Submission of partner's business, operating models, and IS architecture",4.0,moderate,"Type: Case studies. Description: Business Models Submission of partner's business, operating models, and IS architecture",industry or business partner,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,Simulation and Case-Based Learning,AS06,assessment,"Business Models Submission of partner's business, operating models, and IS architecture",4.0,moderate,"Type: Case studies. Description: Business Models Submission of partner's business, operating models, and IS architecture",explicit case method,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,Work-Integrated and Applied Learning,AS08,assessment,Pitch to Partner Slides submission before class Delivered during class time,4.0,moderate,Type: Presentation. Description: Pitch to Partner Slides submission before class Delivered during class time,industry or business partner,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,Work-Integrated and Applied Learning,AS10,assessment,Boardroom Presentation Slides submission before class Live presentation,3.5,moderate,Type: Presentation. Description: Boardroom Presentation Slides submission before class Live presentation,professional presentation,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,Work-Integrated and Applied Learning,AS11,assessment,Boardroom Presentation Q&A Q&A post boardroom presentation,3.5,moderate,"Type: Q&A following presentation, submission or placement. Description: Boardroom Presentation Q&A Q&A post boardroom presentation",professional presentation,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,Simulation and Case-Based Learning,AS12,assessment,Group Report Written report,4.0,moderate,Type: Case studies. Description: Group Report Written report,explicit case method,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,Work-Integrated and Applied Learning,WK02,weekly_schedule,Week 02: Partner Briefing & Group Collaboration,4.0,moderate,Partner Briefing & Group Collaboration. Learning activity: Seminar (3 hr),industry or business partner,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,Work-Integrated and Applied Learning,WK05,weekly_schedule,Week 05: Pitch to Partner,4.0,moderate,Pitch to Partner. Learning activity: Seminar (3 hr),industry or business partner,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,Work-Integrated and Applied Learning,WK12,weekly_schedule,Week 12: Boardroom Presentation,3.5,moderate,Boardroom Presentation. Learning activity: Seminar (3 hr),professional presentation,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
