unit_code,level,category,item_id,section,label,score,confidence,text,matched_rule_labels,source_url
INFS1000,UG,Project- and Problem-Based Learning,AS05,assessment,Group project Project report,3.0,moderate,Type: Written work. Description: Group project Project report,substantial project,https://www.sydney.edu.au/units/INFS1000/2026-S2C-ND-CC
INFS1000,UG,Project- and Problem-Based Learning,AD03,assessment_description,Assessment description 3,6.5,high,"Group project report: The objective of this task is to use the knowledge and practical skills acquired in this unit of study to investigate and solve a real-life business problem. Students are expected to create and describe their own business idea for a pre-defined scenario, which they will receive through Canvas.",real-world problem; substantial project,https://www.sydney.edu.au/units/INFS1000/2026-S2C-ND-CC
INFS2010,UG,Simulation and Case-Based Learning,OV01,overview,Overview paragraph 1,4.0,moderate,"The rapid evolution and widespread adoption of digital technologies are transforming societies, economies, and the environment. These transformations bring significant benefits but also pose serious risks of harm, particularly for vulnerable and marginalised stakeholders, requiring a balanced approach that genuinely serves the common good. This unit unpacks the ethical dilemmas of sociotechnical change, exploring how digital technologies like artificial intelligence, blockchain, and social media impact privacy, equity, democracy, dignity, business, the environment, and more. Guided by compassion as a foundational principle, students will critically examine the ambiguous and pluralistic nature of digital innovations, developing the skills to manage ethical dilemmas and promote responsible digital innovation for the common good. The course integrates ethical theories with recent practical case studies, equipping students to address contemporary ethical dilemmas in today's digital world.",explicit case method,https://www.sydney.edu.au/units/INFS2010/2026-S2C-ND-CC
INFS2010,UG,Project- and Problem-Based Learning,AD02,assessment_description,Assessment description 2,3.0,moderate,Group project report: The group project is an applied project aimed at assessing the knowledge acquired in this unit of study. Students will be required to demonstrate their critical thinking and analytical skills to analyse and recommend improvements to real-world businesses.,substantial project,https://www.sydney.edu.au/units/INFS2010/2026-S2C-ND-CC
INFS2010,UG,Work-Integrated and Applied Learning,AD03,assessment_description,Assessment description 3,3.5,moderate,Group project presentation: The group project presentations are aimed at assessing the level of knowledge acquired in this unit of study. All group members must actively participate in the presentation.,professional presentation,https://www.sydney.edu.au/units/INFS2010/2026-S2C-ND-CC
INFS2010,UG,Project- and Problem-Based Learning,AD03,assessment_description,Assessment description 3,3.0,moderate,Group project presentation: The group project presentations are aimed at assessing the level of knowledge acquired in this unit of study. All group members must actively participate in the presentation.,substantial project,https://www.sydney.edu.au/units/INFS2010/2026-S2C-ND-CC
INFS2010,UG,Project- and Problem-Based Learning,AD04,assessment_description,Assessment description 4,3.0,moderate,"Reflective journal: Individual continuous, reflective journal about the student’s authentic learning experience gleaned from the group project and the in-class activities. While the submission is due in W13, students are encouraged to reflect on weekly prompts by the teaching team, and can discuss their reflections in the weekly consultations. The final deliverable is a written reflective journal of 1500 words (± 10%).",substantial project,https://www.sydney.edu.au/units/INFS2010/2026-S2C-ND-CC
INFS2010,UG,Simulation and Case-Based Learning,WK13,weekly_schedule,Week 07: Case Study: Responsible Social Media Use,4.0,moderate,Case Study: Responsible Social Media Use. Learning activity: Lecture (1.5 hr),explicit case method,https://www.sydney.edu.au/units/INFS2010/2026-S2C-ND-CC
INFS2010,UG,Simulation and Case-Based Learning,WK15,weekly_schedule,Week 08: Case Study: Compassionate Web3 Governance,4.0,moderate,Case Study: Compassionate Web3 Governance. Learning activity: Lecture (1.5 hr),explicit case method,https://www.sydney.edu.au/units/INFS2010/2026-S2C-ND-CC
INFS2010,UG,Simulation and Case-Based Learning,WK17,weekly_schedule,Week 09: Case Study: Human-AI Companionship,4.0,moderate,Case Study: Human-AI Companionship. Learning activity: Lecture (1.5 hr),explicit case method,https://www.sydney.edu.au/units/INFS2010/2026-S2C-ND-CC
